model,scenario,region,variable,unit,2005,2010
MESSAGE-GLOBIOM,a_scenario,R5ASIA,Emissions|CO2,Mt CO2/yr,2.8,7.8
MESSAGE-GLOBIOM,a_scenario,R5ASIA,Emissions|CO2|Cars,Mt CO2/yr,0.9,2.9
MESSAGE-GLOBIOM,a_scenario,R5ASIA,Emissions|CO2|Power,Mt CO2/yr,1.9,4.9
MESSAGE-GLOBIOM,a_scenario,R5REF,Primary Energy,EJ/y,0.1,0.4
MESSAGE-GLOBIOM,a_scenario,R5REF,Primary Energy|Coal,EJ/y,0.05,0.3
MESSAGE-GLOBIOM,a_scenario,R5REF,Primary Energy|Gas,EJ/y,0.05,0.1
MESSAGE-GLOBIOM,a_scenario,R5REF,Emissions|CO2,Mt CO2/yr,0.8,1.2
MESSAGE-GLOBIOM,a_scenario,R5REF,Emissions|CO2|Cars,Mt CO2/yr,0.5,0.7
MESSAGE-GLOBIOM,a_scenario,R5REF,Emissions|CO2|Power,Mt CO2/yr,0.3,0.5
MESSAGE-GLOBIOM,a_scenario,World,Primary Energy,EJ/y,0.9,6.2
MESSAGE-GLOBIOM,a_scenario,World,Primary Energy|Coal,EJ/y,0.7,5.2
MESSAGE-GLOBIOM,a_scenario,World,Primary Energy|Gas,EJ/y,0.2,1.0
MESSAGE-GLOBIOM,a_scenario,World,Emissions|CO2,Mt CO2/yr,3.6,9.0
MESSAGE-GLOBIOM,a_scenario,World,Emissions|CO2|Cars,Mt CO2/yr,1.4,3.6
MESSAGE-GLOBIOM,a_scenario,World,Emissions|CO2|Power,Mt CO2/yr,2.2,5.4
MESSAGE-GLOBIOM,a_scenario_2,R5ASIA,Primary Energy,EJ/y,-1.4,-6.4
MESSAGE-GLOBIOM,a_scenario_2,R5ASIA,Primary Energy|Coal,EJ/y,-0.95,-5.2
MESSAGE-GLOBIOM,a_scenario_2,R5ASIA,Primary Energy|Gas,EJ/y,-0.45,-1.2
MESSAGE-GLOBIOM,a_scenario_2,R5ASIA,Emissions|CO2,Mt CO2/yr,-3.4,-8.4
MESSAGE-GLOBIOM,a_scenario_2,R5ASIA,Emissions|CO2|Cars,Mt CO2/yr,-1.2,-3.2
MESSAGE-GLOBIOM,a_scenario_2,R5ASIA,Emissions|CO2|Power,Mt CO2/yr,-2.2,-5.2
MESSAGE-GLOBIOM,a_scenario_2,R5REF,Primary Energy,EJ/y,-0.7,-1.0
MESSAGE-GLOBIOM,a_scenario_2,R5REF,Primary Energy|Coal,EJ/y,-0.35,-0.6
MESSAGE-GLOBIOM,a_scenario_2,R5REF,Primary Energy|Gas,EJ/y,-0.35,-0.4
MESSAGE-GLOBIOM,a_scenario_2,R5REF,Emissions|CO2,Mt CO2/yr,-1.4,-1.8
MESSAGE-GLOBIOM,a_scenario_2,R5REF,Emissions|CO2|Cars,Mt CO2/yr,-0.8,-1.0
MESSAGE-GLOBIOM,a_scenario_2,R5REF,Emissions|CO2|Power,Mt CO2/yr,-0.6,-0.8
MESSAGE-GLOBIOM,a_scenario_2,World,Primary Energy,EJ/y,-2.1,-7.4
MESSAGE-GLOBIOM,a_scenario_2,World,Primary Energy|Coal,EJ/y,-1.3,-5.8
MESSAGE-GLOBIOM,a_scenario_2,World,Primary Energy|Gas,EJ/y,-0.8,-1.6
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|CO2,Mt CO2/yr,-5.0,-10.6
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|CO2|Cars,Mt CO2/yr,-2.0,-4.2
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|CO2|Power,Mt CO2/yr,-2.8,-6.0
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|CO2|Aggregate Agg,Mt CO2/yr,-0.2,-0.4
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|CF4,kt CF4/yr,54.0,56.0
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|C2F6,kt C2F6/yr,32.0,27.0
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|C2F6|Solvents,kt C2F6/yr,30.0,33.0
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|C2F6|Industry,kt C2F6/yr,2.0,-6.0
MESSAGE-GLOBIOM,a_scenario_2,World,Emissions|CH4,Mt CH4/yr,322.0,217.0
MESSAGE-GLOBIOM,a_scenario_2,R5REF,Emissions|CH4,Mt CH4/yr,30.0,201.0
MESSAGE-GLOBIOM,a_scenario_2,R5ASIA,Emissions|CH4,Mt CH4/yr,292.0,16.0
